company,title,location,link
IT Pros,Data Analyst - Tableau | $70K-$80K | Must be Local,"Philadelphia, PA",https://www.linkedin.com/jobs/view/data-analyst-tableau-%2470k-%2480k-must-be-local-at-it-pros-3813273526?refId=JKP8Pp7jwkC2RHm94G4H7g%3D%3D&trackingId=zqbM4dcVUp8GMr%2BOWv12Cw%3D%3D&position=10&pageNum=2&trk=public_jobs_jserp-result_search-card
"Metasys Technologies, Inc.",Data Analyst,"Dallas, TX",https://www.linkedin.com/jobs/view/data-analyst-at-metasys-technologies-inc-3810683097?refId=JKP8Pp7jwkC2RHm94G4H7g%3D%3D&trackingId=%2FKeJNowRJmfh9Zhx%2BCKD1A%3D%3D&position=11&pageNum=2&trk=public_jobs_jserp-result_search-card
WinMax,Data Analyst IV,"Cupertino, CA",https://www.linkedin.com/jobs/view/data-analyst-iv-at-winmax-3813263834?refId=JKP8Pp7jwkC2RHm94G4H7g%3D%3D&trackingId=OYtu%2FnjW36nFoj5IOFmSQw%3D%3D&position=12&pageNum=2&trk=public_jobs_jserp-result_search-card
EnergyHub,Data Analyst,"Burlington, VT",https://www.linkedin.com/jobs/view/data-analyst-at-energyhub-3813262585?refId=JKP8Pp7jwkC2RHm94G4H7g%3D%3D&trackingId=6hOrbM3B7cjc%2BpobMd5h5Q%3D%3D&position=13&pageNum=2&trk=public_jobs_jserp-result_search-card
Insight Global,Data Analyst,Des Moines Metropolitan Area,https://www.linkedin.com/jobs/view/data-analyst-at-insight-global-3810693135?refId=JKP8Pp7jwkC2RHm94G4H7g%3D%3D&trackingId=lOqatDfuSefSndUxPTaI%2Bg%3D%3D&position=14&pageNum=2&trk=public_jobs_jserp-result_search-card
Tookeez,Data Analyst,"Prefecture of Casablanca, Casablanca-Settat, Morocco",https://ma.linkedin.com/jobs/view/data-analyst-at-tookeez-3814528937?refId=JKP8Pp7jwkC2RHm94G4H7g%3D%3D&trackingId=eh4N6ONTgInSir5wNGK%2BLQ%3D%3D&position=15&pageNum=2&trk=public_jobs_jserp-result_search-card
Mitsubishi Electric,Data Analyst,"Hatfield, England, United Kingdom",https://uk.linkedin.com/jobs/view/data-analyst-at-mitsubishi-electric-3814596591?refId=JKP8Pp7jwkC2RHm94G4H7g%3D%3D&trackingId=AGejUUCiPeB5X%2FRcTSSvVA%3D%3D&position=16&pageNum=2&trk=public_jobs_jserp-result_search-card
Super Scholar,Administrative Data Analyst,"Delhi, Delhi, India",https://in.linkedin.com/jobs/view/administrative-data-analyst-at-super-scholar-3813251269?refId=JKP8Pp7jwkC2RHm94G4H7g%3D%3D&trackingId=pcDu2l7JkBivC7s8eQ7i%2FQ%3D%3D&position=17&pageNum=2&trk=public_jobs_jserp-result_search-card
Razormet Technologies,Data Analyst / Data Scientist (Fresher Only)-,"Kurnool, Andhra Pradesh, India",https://in.linkedin.com/jobs/view/data-analyst-data-scientist-fresher-only-at-razormet-technologies-3810614485?refId=JKP8Pp7jwkC2RHm94G4H7g%3D%3D&trackingId=YZGd2XTrRc0wmkhNo4rU4Q%3D%3D&position=18&pageNum=2&trk=public_jobs_jserp-result_search-card
Dreamer Technoland LLC,Data Analyst,India,https://in.linkedin.com/jobs/view/data-analyst-at-dreamer-technoland-llc-3810693374?refId=JKP8Pp7jwkC2RHm94G4H7g%3D%3D&trackingId=Ml62n6PYr7muz7j%2Bz99Zmg%3D%3D&position=19&pageNum=2&trk=public_jobs_jserp-result_search-card
